순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
183,다이노 어드벤처2: 육해공 공룡 대백과,2018-10-09,335469900,0,43627,322,2512,영국,영국,(주)박수엔터테인먼트
184,아일라,2018-06-21,331882900,0,43612,371,4848,터키,터키,(주)영화사 빅
185,라이프 오브 파이,2013-01-01,440237100,0,41271,87,2239,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
186,극장판 뽀잉: 슈퍼 변신의 비밀,2018-09-20,312710450,0,41054,294,2847,한국,한국,"(주)이수C&E,(주)시너지미디어"
186,더 포리너,2018-02-07,330263800,0,41054,156,3239,영국,"영국,중국","(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온"
186,배반의 장미,2018-10-18,332232550,0,41054,457,6927,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
189,그랜드 부다페스트 호텔,2014-03-20,348931000,0,38622,48,2164,미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주)"
190,너의 이름은.,2017-01-04,307158100,0,38226,121,1198,일본,일본,메가박스중앙(주)플러스엠
191,패터슨,2017-12-21,315354908,0,37781,43,1942,프랑스,"프랑스,독일,미국",그린나래미디어(주)
192,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,321863500,0,37764,121,2070,일본,일본,(주)미디어캐슬
193,다키스트 아워,2018-01-17,283477800,0,37520,233,3088,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
194,프렌즈: 몬스터섬의비밀,2011-12-29,273524500,0,37351,187,1872,일본,일본,"(주)스마일이엔티,(주)에스비에스콘텐츠허브"
195,정글번치: 최강 악당의 등장,2018-04-19,292593700,0,37343,331,1887,프랑스,프랑스,(주)팝엔터테인먼트
196,툴리,2018-11-22,302483000,0,37241,161,2281,캐나다,캐나다,(주)리틀빅픽쳐스
197,벅스 프렌즈,2018-06-06,283664600,0,36905,262,1742,중국,중국,(주)스톰픽쳐스코리아
198,반딧불이 딘딘,2018-02-22,259938900,0,36744,303,2509,중국,중국,(주)박수엔터테인먼트
199,아바타,2009-12-17,407273500,0,36226,68,1952,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
200,"오늘 밤, 로맨스 극장에서",2018-07-11,301894900,0,35732,155,4134,일본,일본,(주)디스테이션
201,스파키,2018-04-12,257040200,0,35436,312,1949,한국,한국,예지림엔터테인먼트
202,펭귄 하이웨이,2018-10-18,276934100,0,34795,338,3280,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
203,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,254692500,0,34466,305,2311,프랑스,프랑스,(주)삼지애니메이션
204,인생 후르츠,2018-12-06,262308350,0,34289,52,1490,일본,일본,(주)엣나인필름
205,개들의 섬,2018-06-21,288664100,0,33229,121,2183,미국,미국,이십세기폭스코리아(주)
206,거미줄에 걸린 소녀,2018-11-28,255329200,0,32418,313,3510,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
207,막달라 마리아: 부활의 증인,2018-03-28,214792200,0,30833,111,2456,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
208,에브리데이,2018-10-11,270271700,0,30569,128,3091,미국,미국,"그린나래미디어(주),(주)홈초이스"
209,바르다가 사랑한 얼굴들,2018-06-14,245996534,0,30392,58,1767,프랑스,프랑스,(주)영화사 진진
210,체실 비치에서,2018-09-20,260131423,0,30389,66,1834,영국,영국,"그린나래미디어(주),(주)키위미디어그룹"
211,지구: 놀라운 하루,2018-02-22,229998100,0,30200,231,2099,영국,영국,(주)리틀빅픽쳐스
212,루비 스팍스,2018-05-10,262133400,0,29760,149,3828,미국,미국,(주)팝엔터테인먼트
213,팬텀 스레드,2018-03-08,243266300,0,29623,47,1248,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
214,문호 스트레이독스 [데드 애플],2018-04-05,225553500,0,29577,79,1616,일본,일본,(주)애니플러스
215,몬태나,2018-04-19,231968300,0,29354,276,3257,미국,미국,판씨네마(주)
216,크리미널 스쿼드,2018-04-19,236627200,0,28477,361,4131,미국,미국,(주)이수C&E
217,달링,2018-04-12,223218500,0,28217,147,3204,영국,영국,(주)팝엔터테인먼트
218,투 프렌즈,2018-11-29,199496700,0,28082,273,1399,러시아,러시아,(주)박수엔터테인먼트
219,박물관이 진짜 살아있다,2018-11-08,204365150,0,28064,252,1361,체코,체코,(주)팝엔터테인먼트
220,라라랜드,2016-12-07,198438100,0,27993,62,969,미국,미국,판씨네마(주)
221,피쉬 프렌즈: 알록이의 신기한 모험,2018-08-30,185624100,0,27198,320,1889,터키,터키,(주)박수엔터테인먼트
222,모어 댄 블루,2018-12-12,217391600,0,27121,132,1907,대만,대만,오드
223,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",2018-01-11,208532200,0,27069,390,3749,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
224,해피 투게더,2018-11-15,204452450,0,27046,240,2322,한국,한국,플레이리스트(주)
225,원더스트럭,2018-05-03,229117500,0,26921,111,2560,미국,미국,CGV아트하우스
226,중2병이라도 사랑이 하고 싶어! 테이크 온 미,2018-05-10,232190200,0,26577,113,2168,일본,일본,와이드 릴리즈(주)
227,구스범스: 몬스터의 역습,2018-11-07,206296600,0,25857,167,2691,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
228,당신의 부탁,2018-04-19,206779428,0,25789,371,5034,한국,한국,CGV아트하우스
229,양말요정 휴고의 대모험,2018-09-06,171113700,0,25578,354,1833,체코,"체코,슬로바키아,크로아티아",와이드 릴리즈(주)
230,쿵푸몽키,2018-01-25,182202400,0,25577,194,1356,중국,중국,(주)박수엔터테인먼트
